,Dateonmarket,Bathrooms,Bedrooms,City,Monthly Rental,SQFT,State,Zip_Code,streetAddress
115,2017-04-08,1.0,2.0, Staten Island ,1600.0,717.0,NY ,10308.0,Armstrong Ave
116,2017-04-07,1.0,1.0, Staten Island ,1200.0,2912.0,NY ,10308.0,Armstrong Ave
117,2017-03-30,1.0,3.0, Staten Island ,2950.0,875.0,NY ,10308.0,3936 Amboy Road # FL 1ST
118,2017-03-29,1.0,1.0, Staten Island ,1200.0,1225.0,NY ,10308.0,Elmwood Ave
119,2017-03-29,1.0,2.0, Staten Island ,1700.0,717.0,NY ,10308.0,910 Armstrong Ave
120,2017-03-16,2.0,3.0, Staten Island ,2150.0,2088.0,NY ,10308.0,311 Great Kills Rd
121,2017-02-26,1.0,1.0, Staten Island ,1150.0,500.0,NY ,10308.0,Cherrywood Ct
122,2017-01-31,1.0,3.0, Staten Island ,1850.0,2700.0,NY ,10308.0,4062 Amboy Rd
123,2016-11-23,1.0,1.0, Staten Island ,1150.0,2600.0,NY ,10308.0,Sandalwood Dr
124,2016-11-16,3.0,3.0, Staten Island ,2400.0,3680.0,NY ,10308.0,18 Rhett Ave
125,2016-10-28,1.0,4.0, Staten Island ,2550.0,1500.0,NY ,10308.0,74 Daleham St
126,2017-04-21,1.0,1.0, Staten Island ,950.0,2392.0,NY ,10309.0,217 Gaynor St
127,2017-04-22,2.0,4.0, Staten Island ,2600.0,2000.0,NY ,10309.0,Ramapo Ave
128,2017-04-16,1.0,2.0, Staten Island ,1750.0,1100.0,NY ,10309.0,Gunton Pl
129,2017-04-13,1.0,1.0, Staten Island ,950.0,750.0,NY ,10309.0,Winant Ave
130,2017-04-13,2.0,3.0, Staten Island ,2500.0,2610.0,NY ,10309.0,39 Poplar Ave
131,2017-04-13,1.0,1.0, Staten Island ,1200.0,2700.0,NY ,10309.0,57 Sharrotts Rd
132,2017-04-11,1.0,1.0, Staten Island ,1250.0,2704.0,NY ,10309.0,(Undisclosed Address)
133,2017-04-09,1.0,2.0, Staten Island ,1600.0,1360.0,NY ,10309.0,48 Marvin Rd
134,2017-04-08,1.0,1.0, Staten Island ,1500.0,2770.0,NY ,10309.0,Foster Rd
135,2017-04-04,1.0,1.0, Staten Island ,1375.0,2704.0,NY ,10309.0,(Undisclosed Address)
136,2017-04-04,1.0,1.0, Staten Island ,1300.0,3485.0,NY ,10309.0,Brookside Loop
137,2017-04-02,1.0,1.0, Staten Island ,1200.0,2496.0,NY ,10309.0,17 Bombay St
138,2017-03-30,1.0,1.0, Staten Island ,1300.0,750.0,NY ,10309.0,32 Robin Ct
139,2017-03-24,1.0,2.0, Staten Island ,1900.0,1440.0,NY ,10309.0,Rathbun Ave
140,2017-03-23,2.0,3.0, Staten Island ,2600.0,2496.0,NY ,10309.0,Gervil St
141,2017-03-18,1.0,2.0, Staten Island ,2000.0,4000.0,NY ,10309.0,Hallister St
142,2017-03-12,3.0,4.0, Staten Island ,2600.0,2446.0,NY ,10309.0,1834 Drumgoole Rd W
143,2017-03-11,2.0,3.0, Staten Island ,2800.0,2265.0,NY ,10309.0,Marisa Cir
144,2017-03-05,2.0,3.0, Staten Island ,1900.0,1000.0,NY ,10309.0,54 Poplar Ave # 2
145,2017-02-16,1.0,1.0, Staten Island ,1250.0,1000.0,NY ,10309.0,34 Seguine Loop # A
146,2017-01-19,1.0,1.0, Staten Island ,1300.0,2400.0,NY ,10309.0,(Undisclosed Address)
147,2016-11-03,1.0,1.0, Staten Island ,1200.0,2704.0,NY ,10309.0,Hemlock Ln
148,2016-10-19,2.0,4.0, Staten Island ,2500.0,1950.0,NY ,10309.0,Amboy Rd
149,2016-10-10,2.0,3.0, Staten Island ,4200.0,2200.0,NY ,10309.0,330 Seguine Ave # MAIN
150,2016-08-02,2.0,4.0, Staten Island ,4200.0,2496.0,NY ,10309.0,93 Oswald Pl
151,2016-07-21,1.0,1.0, Staten Island ,1000.0,2962.0,NY ,10309.0,Englewood Ave
152,2015-07-16,3.0,3.0, Staten Island ,2500.0,2000.0,NY ,10309.0,55 Indale Ave # 1
